,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
8,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,165,,0,,,,https://www.zimmo.be/fr/drogenbos-1620/a-vendre/bien-professionnel/JOQP1/
9,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,434,,0,,,,https://www.zimmo.be/fr/tienen-3300/a-vendre/bien-professionnel/JONW7/
0,Zellik,Bien professionnel,Bureaux,370600,notariale,0,,0,0,0,,,0,,,436,,0,,,,https://www.zimmo.be/fr/zellik-1731/a-vendre/bien-professionnel/J90BY/
1,Rummen,Terrain,,200000,agence,0,,0,0,0,,,0,,,327,,0,,,,https://www.zimmo.be/fr/rummen-3454/a-vendre/terrain/J7N9P/
2,Landen,Bien professionnel,Garage (entretien),750000,notariale,0,,0,0,0,,,0,,,186,4,0,,,,https://www.zimmo.be/fr/landen-3400/a-vendre/bien-professionnel/J47EY/
3,Vilvoorde,Appartement,,208000,notariale,3,43,0,0,0,True,30,0,,,,,0,,,,https://www.zimmo.be/fr/vilvoorde-1800/a-vendre/appartement/J3UUB/
4,Steenokkerzeel,Appartement,Serviceflat,265000,notariale,3,63,0,0,0,,,0,63,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J357Y/
5,Steenokkerzeel,Appartement,Serviceflat,249000,notariale,3,60,0,0,0,,,0,60,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J356F/
6,Steenokkerzeel,Appartement,Serviceflat,265000,notariale,3,63,0,0,0,,,0,63,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J3588/
7,Steenokkerzeel,Appartement,Serviceflat,265000,notariale,3,63,0,0,0,,,0,63,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J357T/
8,Steenokkerzeel,Appartement,Serviceflat,265000,notariale,3,63,0,0,0,,,0,63,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J3583/
9,Steenokkerzeel,Appartement,Serviceflat,254000,notariale,3,64,0,0,0,,,0,61,,,,0,old,2020,,https://www.zimmo.be/fr/steenokkerzeel-1820/a-vendre/appartement/J356K/
0,Keerbergen,Maison,,475000,notariale,6,,0,0,0,,,1,,,246,4,0,old,1988,280,https://www.zimmo.be/fr/keerbergen-3140/a-vendre/maison/JWHRW/
1,Sint-Pieters-Leeuw,Maison,Bel-étage,339000,notariale,6,110,0,0,0,,,0,,,199,2,0,new,1958,256,https://www.zimmo.be/fr/sint-pieters-leeuw-1600/a-vendre/maison/JWHML/
2,Tienen,Appartement,,295000,notariale,2,103,0,0,0,True,14,0,,,,,0,,,,https://www.zimmo.be/fr/tienen-3300/a-vendre/appartement/JWHH5/
3,Tienen,Appartement,App. rez-de-chaussée,365000,notariale,3,131,0,0,0,True,26,1,,,,,0,,,,https://www.zimmo.be/fr/tienen-3300/a-vendre/appartement/JWHH3/
4,Tienen,Appartement,,355000,notariale,3,129,0,0,0,True,16,0,,,,,0,,,,https://www.zimmo.be/fr/tienen-3300/a-vendre/appartement/JWHH4/
5,Leuven,Maison,Maison unifamiliale,571900,notariale,5,54,0,0,0,True,31,1,,,,2,0,,,,https://www.zimmo.be/fr/leuven-3000/a-vendre/maison/JWHH2/
6,Leuven,Maison,Maison unifamiliale,569600,notariale,5,44,0,0,0,True,31,1,,,,2,0,,,,https://www.zimmo.be/fr/leuven-3000/a-vendre/maison/JWHH1/
7,Bertem,Maison,Villa,685000,notariale,4,450,0,0,1,,,1,,,712,4,0,old,1981,227,https://www.zimmo.be/fr/bertem-3060/a-vendre/maison/JWHH0/
8,Teralfene,Maison,Maison unifamiliale,365000,notariale,7,170,0,0,0,,,1,115,605,720,4,0,old,1972,934,https://www.zimmo.be/fr/teralfene-1790/a-vendre/maison/JWH0A/
9,Gelrode,Maison,,465000,notariale,8,405,0,0,0,,,0,,,384,4,0,old,1987,309,https://www.zimmo.be/fr/gelrode-3200/a-vendre/maison/JWGSX/
0,Oud-Heverlee,Terrain,Terrain à bâtir,315000,notariale,0,,0,0,0,,,0,,,665,4,0,,,,https://www.zimmo.be/fr/oud-heverlee-3050/a-vendre/terrain/JTFNE/
1,Linden,Maison,Fermette,895000,notariale,3,572,0,0,0,,,1,,,,4,0,old,1922,109,https://www.zimmo.be/fr/linden-3210/a-vendre/maison/JWPKX/
2,Linden,Maison,Usage mixte,895000,notariale,3,572,0,0,0,,,1,,,,4,0,old,1922,109,https://www.zimmo.be/fr/linden-3210/a-vendre/maison/JWPKZ/
3,Tienen,Maison,,167000,notariale,4,40,0,0,0,,,0,68,2,70,3,0,new,,527,https://www.zimmo.be/fr/tienen-3300/a-vendre/maison/JWPJ6/
4,Linter,Maison,Bungalow,209000,notariale,4,19,0,0,0,True,51,1,100,572,672,4,0,old,1978,667,https://www.zimmo.be/fr/linter-3350/a-vendre/maison/JWPJ9/
5,Boutersem,Maison,Maison unifamiliale,399000,notariale,4,191,0,0,0,True,30,0,,,313,3,0,old,2009,114,https://www.zimmo.be/fr/boutersem-3370/a-vendre/maison/JWPCG/
6,Affligem,Terrain,,69000,notariale,0,,0,0,0,,,0,,,786,,0,,,,https://www.zimmo.be/fr/affligem-1790/a-vendre/terrain/JWPBX/
7,Wezembeek-Oppem,Appartement,,405440,notariale,3,13,0,0,0,True,47,0,,,,,0,,,,https://www.zimmo.be/fr/wezembeek-oppem-1970/a-vendre/appartement/JWPB6/
8,Wezembeek-Oppem,Appartement,,397926,notariale,3,97,0,0,0,True,35,0,,,,,0,,,,https://www.zimmo.be/fr/wezembeek-oppem-1970/a-vendre/appartement/JWPB5/
9,Wezembeek-Oppem,Appartement,,481050,notariale,3,126,0,0,0,True,8,0,,,,,0,,,,https://www.zimmo.be/fr/wezembeek-oppem-1970/a-vendre/appartement/JWPB7/
0,Begijnendijk,Terrain,Terrain à bâtir,118000,notariale,0,,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/terrain/JXJOX/
1,Begijnendijk,Terrain,Terrain à bâtir,118000,notariale,0,,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/terrain/JXJOW/
2,Begijnendijk,Maison,Maison unifamiliale,179000,notariale,0,,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/maison/JXJOV/
3,Liedekerke,Maison,Usage mixte,394000,notariale,5,221,0,0,0,True,21,1,,,,3,0,,1993,161,https://www.zimmo.be/fr/liedekerke-1770/a-vendre/maison/JXJNH/
4,,Projet,,188597,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/boortmeerbeek-3190/a-vendre/projet-immobilier/10042P4/
5,,Projet,,220000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/lubbeek-3210/a-vendre/projet-immobilier/10043EW/
6,Oetingen,Maison,,272000,notariale,4,105,0,0,0,,,1,,,,2,0,,1968,399,https://www.zimmo.be/fr/oetingen-1755/a-vendre/maison/JXJIZ/
7,Asse,Bien professionnel,Bien commercial,660000,notariale,0,,0,0,0,,,0,,,,,0,,2016,,https://www.zimmo.be/fr/asse-1730/a-vendre/bien-professionnel/JXJIT/
8,Herent,Maison,Villa,865000,notariale,7,312,0,0,0,True,20,1,,,,4,0,,2018,,https://www.zimmo.be/fr/herent-3020/a-vendre/maison/JXJGW/
9,Linter,Appartement,,295000,notariale,4,135,0,0,0,,,1,,,,2,0,,2014,120,https://www.zimmo.be/fr/linter-3350/a-vendre/appartement/JXJG3/
